lemma,PoS,freq,perMil,length,syllable_count,phonological_complexity,age_group,frequency_category,difficulty
they,p,4503650,4535.29,4,1,0,5-6,high,easy
about,i,2427703,2444.76,5,2,1,5-6,high,hard
there,e,1980173,1994.09,5,1,0,5-6,high,hard
him,p,1717209,1729.27,3,1,0,5-6,high,easy
could,v,1529795,1540.54,5,1,1,5-6,high,hard
man,n,1091176,1099.05,3,1,0,5-6,high,easy
very,r,963552,970.32,4,2,0,5-6,high,easy
work,v,854095,860.1,4,1,0,5-6,high,easy
call,v,768117,773.51,4,1,0,5-6,high,easy
help,v,606887,610.55,4,1,0,5-6,high,easy
every,a,567233,571.22,5,2,0,5-6,high,hard
yes,u,537066,540.84,3,1,0,5-6,high,easy
case,n,458383,461.6,4,1,0,5-6,high,easy
money,n,437583,440.66,5,2,0,5-6,high,hard
today,r,431562,434.59,5,2,0,5-6,high,hard
hold,v,413837,416.74,4,1,0,5-6,high,easy
home,n,370758,373.36,4,1,0,5-6,high,easy
kid,n,351451,353.92,3,1,0,5-6,high,easy
long,j,345005,347.43,4,1,0,5-6,high,easy
watch,v,318772,321.01,5,1,2,5-6,high,hard
kill,v,307305,309.46,4,1,0,5-6,high,easy
often,r,295709,297.79,5,2,0,5-6,high,hard
news,n,289175,291.21,4,1,0,5-6,high,easy
able,j,279559,281.52,4,2,0,5-6,high,easy
five,m,270274,272.17,4,1,0,5-6,high,easy
buy,v,260201,262.03,3,1,0,5-6,high,easy
door,n,252623,254.4,4,1,0,5-6,high,easy
build,v,230071,231.69,5,1,0,5-6,high,hard
heart,n,216345,217.87,5,1,0,5-6,high,hard
air,n,210307,211.78,3,1,0,5-6,high,easy
wrong,j,206856,208.31,5,1,1,5-6,high,hard
action,n,198530,199.92,6,2,0,5-6,high,hard
event,n,194748,196.12,5,2,1,5-6,high,hard
model,n,191448,192.79,5,2,0,5-6,high,hard
couple,n,189272,190.6,6,2,1,5-6,high,hard
role,n,184483,185.78,4,1,0,5-6,high,easy
return,v,176787,178.03,6,2,0,5-6,high,hard
road,n,173413,174.63,4,1,0,5-6,high,easy
matter,n,167351,168.53,6,2,0,5-6,high,hard
paper,n,165070,166.23,5,2,0,5-6,high,hard
look,n,160145,161.27,4,1,0,5-6,high,easy
fight,v,154643,155.73,5,1,1,5-6,high,hard
throw,v,152388,153.46,5,1,1,5-6,high,hard
oil,n,150410,151.47,3,1,0,5-6,high,easy
whose,d,147491,148.53,5,1,1,5-6,high,hard
forget,v,145557,146.58,6,2,0,5-6,high,hard
series,n,140231,141.22,6,2,1,5-6,high,hard
bank,n,138673,139.65,4,1,0,5-6,high,easy
blood,n,137579,138.42,5,1,0,5-6,high,hard
earth,n,134202,135.14,5,1,0,5-6,high,hard
simple,j,132004,132.93,6,2,0,5-6,high,hard
common,j,130294,131.21,6,2,0,5-6,high,hard
hot,j,128310,129.21,3,1,0,5-6,high,easy
worry,v,119256,120.09,5,2,0,5-6,high,hard
answer,v,115956,116.77,6,2,0,5-6,high,hard
degree,n,113046,113.84,6,2,0,5-6,high,hard
design,n,111026,111.81,6,2,0,5-6,high,hard
fan,n,107631,108.39,3,1,0,5-6,high,easy
union,n,102805,103.53,5,2,0,5-6,high,hard
hate,v,100757,101.46,4,1,0,5-6,high,easy
public,n,97031,97.71,6,2,0,5-6,high,hard
green,j,95937,96.61,5,1,0,5-6,high,hard
debate,n,95244,95.91,6,2,0,5-6,high,hard
trade,n,94509,95.17,5,1,0,5-6,high,hard
deep,j,93753,94.41,4,1,0,5-6,high,easy
