lemma,PoS,freq,perMil,length,syllable_count,phonological_complexity,age_group,frequency_category,difficulty
study,v,92101,92.75,5,2,0,5-6,high,hard
far,j,89074,89.7,3,1,0,5-6,high,easy
expert,n,88134,88.75,6,2,0,5-6,high,hard
march,n,87215,87.83,5,1,1,5-6,high,hard
okay,j,86529,87.14,4,2,0,5-6,high,easy
down,i,85515,86.12,4,1,0,5-6,high,easy
unit,n,84518,85.11,4,2,0,5-6,high,easy
senate,n,83931,84.52,6,2,0,5-6,high,hard
score,n,82738,83.32,5,1,0,5-6,high,hard
worth,i,82178,82.76,5,1,0,5-6,high,hard
chair,n,80186,80.75,5,1,1,5-6,high,hard
run,n,78645,79.2,3,1,0,5-6,high,easy
future,j,77663,78.21,6,2,0,5-6,high,hard
league,n,76178,76.71,6,1,0,5-6,high,hard
attend,v,75448,75.98,6,2,1,5-6,high,hard
strike,v,74378,74.9,6,1,1,5-6,high,hard
crisis,n,73691,74.21,6,2,0,5-6,high,hard
path,n,72335,72.84,4,1,0,5-6,high,easy
jump,v,69861,70.35,4,1,0,5-6,high,easy
basis,n,68758,69.24,5,2,0,5-6,high,hard
survey,n,68301,68.78,6,2,0,5-6,high,hard
commit,v,67792,68.27,6,2,0,5-6,high,hard
stupid,j,67597,68.07,6,2,0,5-6,high,hard
start,n,65218,65.68,5,1,0,5-6,high,hard
speed,n,63502,63.95,5,1,1,5-6,high,hard
view,v,61111,61.54,4,1,1,5-6,high,easy
ticket,n,60721,61.15,6,2,0,5-6,high,hard
shape,n,60252,60.68,5,1,1,5-6,high,hard
lead,n,59773,60.19,4,1,0,5-6,high,easy
wave,n,59169,59.58,4,1,0,5-6,high,easy
bus,n,58707,59.17,3,1,0,5-6,high,easy
egg,n,58198,58.61,3,1,0,5-6,high,easy
cash,n,55856,56.25,4,1,1,5-6,high,easy
suit,n,55200,55.59,4,1,0,5-6,high,easy
tour,n,54157,54.54,4,1,1,5-6,high,easy
train,v,53865,54.24,5,1,0,5-6,high,hard
expand,v,52529,52.9,6,2,1,5-6,high,hard
last,v,51774,52.14,4,1,0,5-6,high,easy
mayor,n,51481,51.84,5,2,0,5-6,high,hard
secret,n,50730,51.09,6,2,0,5-6,high,hard
solve,v,50437,50.79,5,1,0,5-6,high,hard
beer,n,50024,50.38,4,1,0,5-6,high,easy
theme,n,49821,50.82,5,1,0,5-6,high,hard
useful,j,49468,49.82,6,2,0,5-6,high,hard
limit,n,48738,49.08,5,2,0,5-6,high,hard
copy,n,48365,48.7,4,2,0,5-6,high,easy
sleep,n,48020,48.36,5,1,0,5-6,high,hard
ocean,n,47773,48.11,5,2,0,5-6,high,hard
cloud,n,47140,47.47,5,1,1,5-6,high,hard
yours,p,46632,46.96,5,1,1,5-6,high,hard
stress,n,46396,46.72,6,1,1,5-6,high,hard
jury,n,45342,45.66,4,2,0,5-6,high,easy
knock,v,44485,44.8,5,1,1,5-6,high,hard
rare,j,44243,44.55,4,1,0,5-6,high,easy
leaf,n,43674,43.98,4,1,0,5-6,high,easy
term,j,43471,43.78,4,1,0,5-6,high,easy
lock,v,43093,43.4,4,1,0,5-6,high,easy
forth,r,42832,43.13,5,1,0,5-6,high,hard
trail,n,42439,42.74,5,1,0,5-6,high,hard
motion,n,42232,42.53,6,2,0,5-6,high,hard
proper,j,41810,42.1,6,2,0,5-6,high,hard
thick,j,41420,39.96,5,1,0,5-6,high,hard
signal,n,41085,41.37,6,2,0,5-6,high,hard
mean,j,40927,41.21,4,1,0,5-6,high,easy
rating,n,40458,40.74,6,2,1,5-6,high,hard
asset,n,39563,39.84,5,2,0,5-6,high,hard
angel,n,38155,38.42,5,2,0,5-6,high,hard
date,v,37929,38.2,4,1,0,5-6,high,easy
whole,n,37840,38.11,5,1,1,5-6,high,hard
fat,j,37455,37.72,3,1,0,5-6,high,easy
touch,n,36766,37.02,5,1,2,5-6,high,hard
column,n,36526,36.78,6,2,0,5-6,high,hard
round,n,35407,35.66,5,1,2,5-6,high,hard
layer,n,34911,35.16,5,2,0,5-6,high,hard
vice,j,34652,34.9,4,1,0,5-6,high,easy
habit,n,33933,34.17,5,2,0,5-6,high,hard
surely,r,33758,34.0,6,2,0,5-6,high,hard
match,n,33368,33.6,5,1,2,5-6,high,hard
black,n,32406,32.63,5,1,0,5-6,high,hard
doubt,v,31736,31.96,5,1,1,5-6,high,hard
submit,v,31515,31.74,6,2,0,5-6,high,hard
light,v,30928,31.15,5,1,1,5-6,high,hard
bend,v,30768,30.98,4,1,1,5-6,high,easy
peak,n,30595,30.81,4,1,0,5-6,high,easy
dust,n,30376,30.59,4,1,0,5-6,high,easy
juice,n,30156,30.37,5,1,0,5-6,high,hard
mess,n,29961,30.17,4,1,0,5-6,high,easy
carbon,n,29639,29.85,6,2,0,5-6,high,hard
toss,v,29527,29.73,4,1,0,5-6,high,easy
navy,n,29450,29.66,4,2,0,5-6,high,easy
desert,n,29353,29.56,6,2,0,5-6,high,hard
pack,n,29197,29.4,4,1,0,5-6,high,easy
clock,n,29112,29.32,5,1,0,5-6,high,hard
wolf,n,29042,29.25,4,1,0,5-6,high,easy
rep,n,28848,29.05,3,1,0,5-6,high,easy
hmm,u,28510,28.71,3,1,0,5-6,high,easy
rose,n,28398,28.6,4,1,0,5-6,high,easy
crop,n,27946,28.14,4,1,0,5-6,high,easy
access,v,27476,27.67,6,2,0,5-6,high,hard
react,v,27322,27.51,5,2,0,5-6,high,hard
free,v,26787,26.98,4,1,0,5-6,high,easy
wisdom,n,25925,26.11,6,2,0,5-6,high,hard
since,r,25781,25.96,5,1,0,5-6,high,hard
tube,n,25647,25.83,4,1,0,5-6,high,easy
creek,n,25595,25.77,5,1,0,5-6,high,hard
fraud,n,25518,25.7,5,1,0,5-6,high,hard
flat,j,25427,25.61,4,1,0,5-6,high,easy
islam,n,25282,25.46,5,2,0,5-6,high,hard
plus,n,25166,25.34,4,1,0,5-6,high,easy
bye,u,25081,25.26,3,1,0,5-6,high,easy
asleep,j,24848,25.02,6,2,0,5-6,high,hard
risk,v,24524,24.7,4,1,0,5-6,high,easy
beat,n,24421,24.59,4,1,0,5-6,high,easy
loose,j,24139,24.31,5,1,0,5-6,high,hard
flow,v,23932,24.1,4,1,0,5-6,high,easy
bake,v,23686,23.85,4,1,0,5-6,high,easy
ooh,u,23498,23.66,3,1,0,5-6,high,easy
horror,n,23430,23.59,6,2,0,5-6,high,hard
bless,v,23307,23.47,5,1,0,5-6,high,hard
paint,n,23029,23.19,5,1,1,5-6,high,hard
blue,n,22857,23.02,4,1,0,5-6,high,easy
latin,j,22755,22.91,5,2,0,5-6,high,hard
wish,n,22423,22.58,4,1,1,5-6,high,easy
shelf,n,21854,22.01,5,1,1,5-6,high,hard
oven,n,21721,21.87,4,2,0,5-6,high,easy
cheat,v,21523,21.67,5,1,1,5-6,high,hard
bishop,n,21282,21.43,6,2,1,5-6,high,hard
eagle,n,21220,21.37,5,2,0,5-6,high,hard
irish,j,21004,21.15,5,2,1,5-6,high,hard
bias,n,20699,20.84,4,2,0,5-6,high,easy
guitar,n,20550,20.69,6,2,0,5-6,high,hard
dump,v,20326,20.47,4,1,0,5-6,high,easy
beast,n,19956,20.1,5,1,0,5-6,high,hard
ounce,n,19680,19.82,5,1,1,5-6,high,hard
mount,v,19389,19.53,5,1,2,5-6,high,hard
bug,n,19312,19.45,3,1,0,5-6,high,easy
lemon,n,19153,19.29,5,2,0,5-6,high,hard
melt,v,19071,19.2,4,1,0,5-6,high,easy
cabin,n,19019,19.15,5,2,0,5-6,high,hard
oak,n,18691,18.82,3,1,0,5-6,high,easy
ship,v,17891,18.02,4,1,1,5-6,high,easy
divine,j,17704,17.83,6,2,0,5-6,high,hard
short,r,17604,17.73,5,1,1,5-6,high,hard
devote,v,17555,17.68,6,2,0,5-6,high,hard
endure,v,17500,17.62,6,2,1,5-6,high,hard
lyrics,n,17443,17.57,6,2,0,5-6,high,hard
jeans,n,17273,17.39,5,1,0,5-6,high,hard
ranch,n,17219,17.34,5,1,1,5-6,high,hard
ruling,n,16930,17.05,6,2,1,5-6,high,hard
guard,v,16876,16.99,5,1,0,5-6,high,hard
doll,n,16714,17.09,4,1,0,5-6,high,easy
pump,n,16418,16.53,4,1,0,5-6,high,easy
tumor,n,16309,16.42,5,2,0,5-6,high,hard
insect,n,16198,16.31,6,2,0,5-6,high,hard
greet,v,16069,16.18,5,1,0,5-6,high,hard
crawl,v,15944,16.06,5,1,0,5-6,high,hard
immune,j,15631,15.74,6,2,0,5-6,high,hard
rent,n,15515,15.62,4,1,1,5-6,high,easy
secure,j,15420,15.53,6,2,0,5-6,high,hard
forty,m,15352,15.46,5,2,0,5-6,high,hard
joke,v,15321,15.43,4,1,0,5-6,high,easy
outfit,n,15213,15.32,6,2,1,5-6,high,hard
fool,v,15179,15.29,4,1,0,5-6,high,easy
hidden,j,15111,15.22,6,2,0,5-6,high,hard
seal,n,15019,15.12,4,1,0,5-6,high,easy
drift,v,14941,15.05,5,1,0,5-6,high,hard
backup,n,14904,15.01,6,2,0,5-6,high,hard
pad,n,14749,14.85,3,1,0,5-6,high,easy
amid,i,14704,14.81,4,2,0,5-6,high,easy
accent,n,14628,14.73,6,2,1,5-6,high,hard
full,j,14401,14.5,4,1,0,5-6,high,easy
time,j,14401,14.5,4,1,0,5-6,high,easy
sock,n,14170,14.27,4,1,0,5-6,high,easy
tragic,j,14131,14.23,6,2,0,5-6,high,hard
freak,v,14012,14.11,5,1,0,5-6,high,hard
opt,v,13862,13.96,3,1,0,5-6,high,easy
racist,j,13749,13.85,6,2,0,5-6,high,hard
marine,n,13677,13.77,6,2,0,5-6,high,hard
sadly,r,13633,13.73,5,2,0,5-6,high,hard
drill,v,13524,13.62,5,1,0,5-6,high,hard
drown,v,13296,13.39,5,1,0,5-6,high,hard
sail,v,13257,13.35,4,1,0,5-6,high,easy
cruel,j,13185,13.28,5,2,0,5-6,high,hard
mixed,j,13032,13.12,5,1,1,5-6,high,hard
pin,n,12991,13.08,3,1,0,5-6,high,easy
loving,j,12868,12.96,6,2,1,5-6,high,hard
soda,n,12515,12.6,4,2,0,5-6,high,easy
syrian,j,12405,12.49,6,2,0,5-6,high,hard
cord,n,12388,12.43,4,1,0,5-6,high,easy
junk,n,12319,12.41,4,1,0,5-6,high,easy
sphere,n,12268,12.35,6,1,1,5-6,high,hard
breeze,n,12205,12.29,6,1,0,5-6,high,hard
shrink,v,12008,12.09,6,1,1,5-6,high,hard
yield,n,11970,12.05,5,1,1,5-6,high,hard
hammer,n,11886,11.97,6,2,0,5-6,high,hard
low,r,11611,11.69,3,1,0,5-6,high,easy
screen,v,11581,11.66,6,1,0,5-6,high,hard
unto,i,11541,11.62,4,2,1,5-6,high,easy
per,r,11472,8.13,3,1,0,5-6,high,easy
blink,v,11416,11.5,5,1,0,5-6,high,hard
spin,n,11383,11.46,4,1,0,5-6,high,easy
widow,n,11187,11.27,5,2,0,5-6,high,hard
inn,n,11126,11.2,3,1,0,5-6,high,easy
infect,v,10999,11.08,6,2,0,5-6,high,hard
alert,v,10826,10.9,5,2,0,5-6,high,hard
polite,j,10757,10.83,6,2,0,5-6,high,hard
spine,n,10725,10.8,5,1,0,5-6,high,hard
scar,n,10693,10.77,4,1,0,5-6,high,easy
uphold,v,10571,10.65,6,2,1,5-6,high,hard
leak,n,10490,10.56,4,1,0,5-6,high,easy
matrix,n,10463,10.54,6,2,0,5-6,high,hard
reason,v,10441,10.51,6,2,0,5-6,high,hard
board,v,10377,10.45,5,1,0,5-6,high,hard
seeing,c,10279,10.35,6,2,1,5-6,high,hard
spider,n,10153,10.22,6,2,0,5-6,high,hard
fulfil,v,10129,10.2,6,2,0,5-6,high,hard
foster,j,9975,10.05,6,2,0,5-6,high,hard
self,n,9858,9.93,4,1,0,5-6,high,easy
esteem,n,9858,9.93,6,2,0,5-6,high,hard
ink,n,9833,9.9,3,1,0,5-6,high,easy
fog,n,9800,9.87,3,1,0,5-6,high,easy
ribbon,n,9758,9.83,6,2,0,5-6,high,hard
humble,j,9722,9.79,6,2,0,5-6,high,hard
mutter,v,9629,9.7,6,2,0,5-6,high,hard
slim,j,9552,9.62,4,1,0,5-6,high,easy
tease,v,9475,9.54,5,1,0,5-6,high,hard
grind,v,9374,9.44,5,1,1,5-6,high,hard
pledge,n,9355,9.42,6,1,1,5-6,high,hard
inject,v,9254,9.32,6,2,0,5-6,high,hard
spray,v,9228,9.29,5,1,0,5-6,high,hard
forge,v,9193,9.26,5,1,0,5-6,high,hard
tilt,v,9154,9.22,4,1,0,5-6,high,easy
ant,n,9137,9.2,3,1,1,5-6,high,easy
robe,n,9046,9.11,4,1,0,5-6,high,easy
part,j,8932,8.99,4,1,0,5-6,high,easy
devise,v,8903,8.97,6,2,0,5-6,high,hard
stroke,v,8849,8.91,6,1,1,5-6,high,hard
prop,n,8825,8.89,4,1,0,5-6,high,easy
fried,j,8801,8.86,5,1,2,5-6,high,hard
boxing,n,8683,8.74,6,2,1,5-6,high,hard
gum,n,8661,8.72,3,1,0,5-6,high,easy
roar,v,8594,8.65,4,1,0,5-6,high,easy
cube,n,8555,8.62,4,1,0,5-6,high,easy
greed,n,8534,8.59,5,1,1,5-6,high,hard
idol,n,8495,8.55,4,2,0,5-6,high,easy
bark,v,8473,8.53,4,1,0,5-6,high,easy
wildly,r,8367,8.43,6,2,0,5-6,high,hard
diner,n,8309,8.37,5,2,0,5-6,high,hard
strand,n,8245,8.3,6,1,2,5-6,high,hard
pace,v,8213,8.27,4,1,0,5-6,high,easy
gaming,n,8075,8.13,6,2,1,5-6,high,hard
whoo,u,8032,8.09,4,1,1,5-6,high,easy
swiss,j,7998,8.05,5,1,0,5-6,high,hard
caucus,n,7947,8.0,6,2,0,5-6,high,hard
defect,n,7828,7.88,6,2,0,5-6,high,hard
sorrow,n,7664,7.72,6,2,0,5-6,high,hard
amen,u,7636,7.69,4,2,0,5-6,high,easy
dial,v,7617,7.67,4,2,0,5-6,high,easy
offset,v,7589,7.64,6,2,0,5-6,high,hard
entail,v,7569,7.62,6,2,1,5-6,high,hard
lethal,j,7512,7.56,6,2,0,5-6,high,hard
dub,v,7384,7.44,3,1,0,5-6,high,easy
hurry,n,7351,7.4,5,2,0,5-6,high,hard
sequel,n,7322,7.37,6,2,0,5-6,high,hard
clip,v,7312,7.36,4,1,0,5-6,high,easy
dear,n,7288,7.34,4,1,0,5-6,high,easy
strap,n,7271,7.32,5,1,1,5-6,high,hard
sperm,n,7259,7.31,5,1,0,5-6,high,hard
bond,v,7218,7.27,4,1,1,5-6,high,easy
pardon,n,7153,7.2,6,2,0,5-6,high,hard
drip,v,7136,7.19,4,1,0,5-6,high,easy
exert,v,7075,7.12,5,2,0,5-6,high,hard
tackle,n,7031,7.08,6,2,0,5-6,high,hard
tier,n,6964,7.01,4,1,1,5-6,high,easy
mist,n,6913,6.96,4,1,0,5-6,high,easy
reopen,v,6904,6.95,6,2,0,5-6,high,hard
gravel,n,6889,6.94,6,2,0,5-6,high,hard
stride,n,6854,6.9,6,1,1,5-6,high,hard
loosen,v,6844,6.89,6,2,0,5-6,high,hard
draw,n,6807,6.85,4,1,0,5-6,high,easy
hacker,n,6793,6.84,6,2,0,5-6,high,hard
phone,v,6780,6.83,5,1,1,5-6,high,hard
dwell,v,6756,6.8,5,1,0,5-6,high,hard
swamp,n,6725,6.77,5,1,0,5-6,high,hard
chant,v,6699,6.75,5,1,2,5-6,high,hard
cuff,n,6688,6.73,4,1,0,5-6,high,easy
oblige,v,6663,6.71,6,2,0,5-6,high,hard
thug,n,6649,6.7,4,1,0,5-6,high,easy
adore,v,6629,6.68,5,2,0,5-6,high,hard
create,v,6602,6.65,6,2,0,5-6,high,hard
dire,j,6532,6.58,4,1,0,5-6,high,easy
embark,v,6500,6.55,6,2,0,5-6,high,hard
lousy,j,6474,6.52,5,2,1,5-6,high,hard
smoker,n,6458,6.5,6,2,0,5-6,high,hard
clove,n,6379,6.42,5,1,0,5-6,high,hard
scam,n,6331,6.38,4,1,0,5-6,high,easy
water,v,6314,6.36,5,2,0,5-6,high,hard
jeep,n,6278,6.32,4,1,0,5-6,high,easy
greedy,j,6201,6.24,6,2,1,5-6,high,hard
surge,v,6154,6.2,5,1,0,5-6,high,hard
blunt,j,6143,6.19,5,1,1,5-6,high,hard
pastry,n,6059,6.1,6,2,1,5-6,high,hard
condo,n,6044,6.09,5,2,1,5-6,high,hard
saddle,n,6022,6.06,6,2,0,5-6,high,hard
rig,n,5994,6.04,3,1,0,5-6,high,easy
upward,r,5954,6.0,6,2,0,5-6,high,hard
auburn,j,5939,5.98,6,2,0,5-6,high,hard
jelly,n,5867,5.91,5,2,0,5-6,high,hard
recall,n,5858,5.9,6,2,0,5-6,high,hard
prose,n,5836,5.88,5,1,0,5-6,high,hard
squash,n,5808,5.85,6,1,1,5-6,high,hard
shrine,n,5790,5.83,6,1,1,5-6,high,hard
screw,n,5762,5.8,5,1,0,5-6,high,hard
saw,n,5722,5.76,3,1,0,5-6,high,easy
sucker,n,5675,5.71,6,2,0,5-6,high,hard
muddy,j,5663,5.7,5,2,0,5-6,high,hard
sewer,n,5652,5.69,5,2,0,5-6,high,hard
coward,n,5641,5.68,6,2,0,5-6,high,hard
serum,n,5615,5.65,5,2,0,5-6,high,hard
pest,n,5548,5.59,4,1,0,5-6,high,easy
dive,n,5507,5.55,4,1,0,5-6,high,easy
yogurt,n,5495,5.53,6,2,0,5-6,high,hard
split,j,5482,5.52,5,1,0,5-6,high,hard
trans,n,5459,5.5,5,1,0,5-6,high,hard
shower,v,5443,5.48,6,2,1,5-6,high,hard
pull,n,5412,5.45,4,1,0,5-6,high,easy
almond,n,5354,5.39,6,2,1,5-6,high,hard
pact,n,5334,5.37,4,1,0,5-6,high,easy
flyer,n,5326,5.36,5,1,0,5-6,high,hard
spike,v,5305,5.34,5,1,0,5-6,high,hard
beetle,n,5292,5.33,6,2,0,5-6,high,hard
brink,n,5266,5.3,5,1,0,5-6,high,hard
swim,n,5240,5.28,4,1,0,5-6,high,easy
erode,v,5197,5.23,5,2,0,5-6,high,hard
fry,v,5178,5.21,3,1,0,5-6,high,easy
strait,n,5169,5.21,6,1,1,5-6,high,hard
cram,v,5137,5.17,4,1,0,5-6,high,easy
acting,j,5078,5.11,6,2,1,5-6,high,hard
causal,j,4955,4.99,6,2,0,5-6,high,hard
reel,v,4919,4.95,4,1,0,5-6,high,easy
wig,n,4914,4.95,3,1,0,5-6,high,easy
buzz,v,4887,4.92,4,1,0,5-6,high,easy
focal,j,4880,4.91,5,2,0,5-6,high,hard
buffer,n,4863,4.9,6,2,0,5-6,high,hard
mold,v,4856,4.89,4,1,0,5-6,high,easy
cough,n,4840,4.87,5,1,3,5-6,high,hard
shrub,n,4808,4.84,5,1,1,5-6,high,hard
zoom,v,4801,4.83,4,1,0,5-6,high,easy
temp,n,4752,4.79,4,1,0,5-6,high,easy
splash,n,4708,4.74,6,1,1,5-6,high,hard
crow,n,4678,4.71,4,1,0,5-6,high,easy
cache,n,4665,4.7,5,1,1,5-6,high,hard
curb,n,4660,4.69,4,1,0,5-6,high,easy
decree,n,4655,4.69,6,1,0,5-6,high,hard
marsh,n,4637,4.67,5,1,1,5-6,high,hard
born,j,4628,4.66,4,1,0,5-6,high,easy
novice,n,4588,4.62,6,2,0,5-6,high,hard
tweak,v,4560,4.59,5,1,0,5-6,high,hard
veggie,n,4551,4.58,6,1,1,5-6,high,hard
loft,n,4543,4.57,4,1,0,5-6,high,easy
lag,v,4509,4.54,3,1,0,5-6,high,easy
creed,n,4461,4.49,5,1,1,5-6,high,hard
sexist,j,4438,4.47,6,2,0,5-6,high,hard
spill,n,4394,4.42,5,1,0,5-6,high,hard
chrome,n,4386,4.42,6,1,1,5-6,high,hard
relic,n,4321,4.35,5,2,0,5-6,high,hard
facet,n,4301,4.33,5,2,0,5-6,high,hard
mantra,n,4263,4.29,6,2,1,5-6,high,hard
envy,n,4224,4.25,4,2,0,5-6,high,easy
tutor,n,4208,4.24,5,2,0,5-6,high,hard
germ,n,4204,4.23,4,1,0,5-6,high,easy
chalk,n,4187,4.22,5,1,1,5-6,high,hard
yeast,n,4157,4.19,5,1,0,5-6,high,hard
slam,n,4135,4.16,4,1,0,5-6,high,easy
mingle,v,4099,4.13,6,2,1,5-6,high,hard
sexism,n,4090,4.12,6,2,0,5-6,high,hard
dent,n,4078,4.11,4,1,1,5-6,high,easy
reread,v,4069,4.1,6,2,0,5-6,high,hard
relay,v,4039,4.07,5,2,0,5-6,high,hard
gypsy,n,4006,4.03,5,2,0,5-6,high,hard
concur,v,4001,4.03,6,2,0,5-6,high,hard
game,v,3920,3.95,4,1,0,5-6,high,easy
deacon,n,3916,3.94,6,2,0,5-6,high,hard
stern,j,3884,3.91,5,1,0,5-6,high,hard
gladly,r,3877,3.9,6,2,0,5-6,high,hard
evade,v,3849,3.88,5,2,0,5-6,high,hard
salty,j,3834,3.86,5,2,0,5-6,high,hard
seep,v,3824,3.85,4,1,0,5-6,high,easy
guided,j,3813,3.84,6,2,1,5-6,high,hard
darken,v,3804,3.83,6,2,0,5-6,high,hard
rebel,v,3786,3.81,5,2,0,5-6,high,hard
one,j,3745,3.77,3,1,0,5-6,high,easy
year,j,3745,3.77,4,1,0,5-6,high,easy
lily,n,3740,3.77,4,2,0,5-6,high,easy
rover,n,3731,3.76,5,2,0,5-6,high,hard
dot,v,3718,3.74,3,1,0,5-6,high,easy
moth,n,3707,3.73,4,1,0,5-6,high,easy
hand,j,3694,3.72,4,1,1,5-6,high,easy
held,j,3694,3.72,4,1,0,5-6,high,easy
atm,n,3664,3.69,3,1,0,5-6,high,easy
size,v,3636,3.66,4,1,0,5-6,high,easy
rusty,j,3627,3.65,5,2,0,5-6,high,hard
abbey,n,3605,3.63,5,2,0,5-6,high,hard
micro,j,3593,3.62,5,2,0,5-6,high,hard
overt,j,3572,3.6,5,2,0,5-6,high,hard
cove,n,3552,3.58,4,1,0,5-6,high,easy
blur,n,3546,3.57,4,1,0,5-6,high,easy
nausea,n,3510,3.53,6,2,0,5-6,high,hard
haul,n,3504,3.53,4,1,0,5-6,high,easy
dagger,n,3482,3.51,6,2,0,5-6,high,hard
rift,n,3459,3.48,4,1,0,5-6,high,easy
horde,n,3425,3.45,5,1,0,5-6,high,hard
devoid,j,3414,3.44,6,2,0,5-6,high,hard
brave,v,3408,3.43,5,1,0,5-6,high,hard
front,n,3403,3.43,5,1,1,5-6,high,hard
runner,n,3403,3.43,6,2,0,5-6,high,hard
sect,n,3393,3.42,4,1,0,5-6,high,easy
scrap,v,3388,3.41,5,1,0,5-6,high,hard
leash,n,3369,3.39,5,1,1,5-6,high,hard
peek,n,3347,3.37,4,1,0,5-6,high,easy
amidst,i,3327,3.35,6,2,0,5-6,high,hard
putt,n,3319,3.34,4,1,0,5-6,high,easy
abduct,v,3301,3.32,6,2,0,5-6,high,hard
paddle,v,3277,3.3,6,2,0,5-6,high,hard
classy,j,3246,3.27,6,2,0,5-6,high,hard
fancy,n,3227,3.25,5,2,0,5-6,high,hard
tanker,n,3217,3.24,6,2,0,5-6,high,hard
swoop,v,3206,3.23,5,1,0,5-6,high,hard
hassle,n,3196,3.22,6,2,0,5-6,high,hard
pollen,n,3181,3.2,6,2,0,5-6,high,hard
punt,n,3168,3.19,4,1,1,5-6,high,easy
vent,v,3157,3.18,4,1,1,5-6,high,easy
worthy,n,3148,3.17,6,2,0,5-6,high,hard
spiral,v,3142,3.16,6,2,0,5-6,high,hard
aha,u,3133,3.16,3,2,0,5-6,high,easy
boom,v,3115,3.14,4,1,0,5-6,high,easy
grope,v,3108,3.13,5,1,0,5-6,high,hard
braid,n,3099,3.12,5,1,0,5-6,high,hard
spoken,j,3079,3.1,6,2,0,5-6,high,hard
falter,v,3076,3.1,6,2,0,5-6,high,hard
torn,j,3063,3.08,4,1,0,5-6,high,easy
flinch,v,3060,3.08,6,1,1,5-6,high,hard
puff,v,3054,3.08,4,1,0,5-6,high,easy
entree,n,3045,3.07,6,1,1,5-6,high,hard
skate,n,3012,3.03,5,1,0,5-6,high,hard
thump,v,3006,3.03,5,1,0,5-6,high,hard
bubble,v,3003,3.02,6,2,0,5-6,high,hard
